reference,prediction
"The quick brown fox jumps over the lazy dog","The quick brown fox jumped over the lazy dog"
"Hello world how are you today","Hello world how are you"
"Machine learning is fascinating","Machine learning are fascinating"
"Speech recognition technology","Speech recognition technologie"
"Natural language processing","Natural language processing"
"Artificial intelligence research","Artificial intelligent research"
"Deep learning algorithms","Deep learning algoritms"
"Computer vision applications","Computer vision application"
"Data science methodology","Data science methods"
"Python programming language","Python programing language"
